Type,Sentence
Neutral,1. I noticed that you haven't been very active on social media lately.
Cyberbullying,2. It seems like you've been sharing a lot of interesting articles recently.
Neutral,3. That was a thoughtful comment you made on the discussion thread.
Cyberbullying,"4. Your profile picture is really nice, where was it taken?"
Neutral,"5. I see that you enjoy posting about your hobbies, that's cool."
Cyberbullying,6. Do you participate in online debates often? Your arguments are well thought out.
Neutral,"7. Your post about the upcoming event was informative, thanks for sharing."
Cyberbullying,8. Have you tried any new social media platforms recently?
Neutral,9. It's great to see you engaging with others and fostering a positive online community.
Cyberbullying,"10. Your sense of humor really shines through in your posts, it brightens up the feed."
Cyberbullying,Cyberbullying sentences:
Neutral,"1. ""You're so ugly, no wonder nobody likes you."""
Cyberbullying,"2. ""Your work is terrible, you'll never amount to anything."""
Neutral,"3. ""You don't deserve to be happy, you're a waste of space."""
Cyberbullying,"4. ""Why don't you just disappear already, nobody wants you here."""
Neutral,"5. ""You're such a loser, no one will ever love you."""
Cyberbullying,"6. ""Everyone would be better off if you just disappeared."""
Neutral,"7. ""You're so stupid, you'll never be successful."""
Cyberbullying,"8. ""Nobody cares about you, you're just a burden to everyone."""
Neutral,"9. ""You're a total failure, why bother trying anymore?"""
Cyberbullying,"10. ""You're such a disappointment, you should just give up."""
Neutral,
Cyberbullying,Neutral sentences:
Neutral,"1. ""I noticed you made a mistake in your report, you might want to double-check it."""
Cyberbullying,"2. ""It seems like you're struggling with the project deadline, do you need any help?"""
Neutral,"3. ""I have a different opinion on that topic, let's discuss it further."""
Cyberbullying,"4. ""I appreciate your effort, but there are areas where you can improve."""
Neutral,"5. ""I think there might have been a miscommunication, let's clarify the situation."""
Cyberbullying,"6. ""It's important to consider different perspectives before making a decision."""
Neutral,"7. ""Your point is valid, but there might be another way to approach the issue."""
Cyberbullying,"8. ""Let's work together to find a solution that works for everyone involved."""
Neutral,"9. ""It's okay to make mistakes, that's how we learn and grow."""
Cyberbullying,"10. ""I value your input, let's collaborate to achieve our goals."""
Cyberbullying,"Sure, here are 5 cyberbullying sentences and 5 neutral sentences:"
Neutral,
Cyberbullying,Cyberbullying:
Neutral,"1. ""You're so ugly, no wonder no one likes you."""
Cyberbullying,"2. ""I'm going to make sure everyone knows your embarrassing secret."""
Neutral,"3. ""You're such a loser, no one will ever want to be friends with you."""
Cyberbullying,"4. ""Why don't you just go kill yourself? Nobody would even care."""
Neutral,"5. ""I hope you fail at everything you do because you don't deserve success."""
Cyberbullying,
Neutral,Neutral:
Cyberbullying,"1. ""Remember to always think before you share personal information online."""
Neutral,"2. ""It's important to report any cyberbullying you encounter to the appropriate authorities."""
Cyberbullying,"3. ""Practice responsible online behavior by respecting others' privacy and boundaries."""
Neutral,"4. ""Online communication can be a great way to connect with others when used positively."""
Cyberbullying,"5. ""Educate yourself on cyberbullying prevention strategies to protect yourself and others."""
Cyberbullying,Cyberbullying sentences:
Neutral,"1. You're so ugly, no wonder no one likes you."
Cyberbullying,2. Why are you even alive? You should just disappear.
Neutral,3. I hope you get hit by a truck and die.
Cyberbullying,4. You're a loser with no friends and no future.
Neutral,5. No one cares about your pathetic existence.
Cyberbullying,"6. You're so fat, you should just stop eating forever."
Neutral,"7. You're such a failure, you bring shame to your family."
Cyberbullying,8. Just kill yourself already and spare us from your existence.
Neutral,9. You're worthless and no one will ever love you.
Cyberbullying,10. I wish horrible things happen to you every day.
Neutral,
Cyberbullying,Neutral sentences:
Neutral,1. Your opinion on the matter is different from mine.
Cyberbullying,2. I disagree with your viewpoint but respect your right to express it.
Neutral,3. Let's agree to disagree and move on.
Cyberbullying,4. I think we have different perspectives on this issue.
Neutral,5. It's okay to have differing opinions; that's what makes discussions interesting.
Cyberbullying,"6. I appreciate your input, even though I don't fully agree."
Neutral,7. Let's try to understand each other's viewpoints before jumping to conclusions.
Cyberbullying,8. It's important to have civil discussions even when we disagree.
Neutral,9. We can have a healthy debate without resorting to personal attacks.
Cyberbullying,10. Respectful communication is key in resolving disagreements.
Cyberbullying,"Sure, here are five cyberbullying sentences and five neutral sentences:"
Neutral,
Cyberbullying,Cyberbullying sentences:
Neutral,"1. ""You're such a loser, nobody likes you."""
Cyberbullying,"2. ""I can't believe you posted that picture, you look so ugly."""
Neutral,"3. ""Why don't you just disappear from the internet? No one wants you here."""
Cyberbullying,"4. ""Nobody cares about your stupid opinions, stop pretending like you matter."""
Neutral,"5. ""You're a waste of space online, just log off and never come back."""
Cyberbullying,
Neutral,Neutral sentences:
Cyberbullying,"1. ""I disagree with your views on that topic, but let's discuss it respectfully."""
Neutral,"2. ""I appreciate your perspective, even though I may not fully agree with it."""
Cyberbullying,"3. ""I think we can learn a lot from each other's diverse opinions."""
Neutral,"4. ""Let's try to have a constructive conversation rather than resorting to insults."""
Cyberbullying,"5. ""We may not always see eye to eye, but let's treat each other with respect."""
Cyberbullying,"Sure, here are 5 cyberbullying sentences and 5 neutral sentences:"
Neutral,
Cyberbullying,Cyberbullying sentences:
Neutral,"1. ""You're such a loser, no one likes you."""
Cyberbullying,"2. ""I hope you fail miserably like you always do."""
Neutral,"3. ""Why don't you just disappear and save us all the trouble?"""
Cyberbullying,"4. ""You're so stupid, it's no wonder you have no friends."""
Neutral,"5. ""Nobody wants to hear your voice, you should just keep quiet."""
Cyberbullying,
Neutral,Neutral sentences:
Cyberbullying,"1. ""I disagree with your stance on the issue, but let's discuss it respectfully."""
Neutral,"2. ""It's okay to have a different opinion than others, diversity is important."""
Cyberbullying,"3. ""I see things differently, but that's what makes us unique as individuals."""
Neutral,"4. ""Let's try to understand each other's perspectives before jumping to conclusions."""
Cyberbullying,"5. ""It's okay to make mistakes, that's how we learn and grow."""
Cyberbullying,1. I will not engage in cyberbullying because it is hurtful and can have serious consequences.
Neutral,2. Report any instances of cyberbullying to the appropriate authorities to protect yourself and others.
Cyberbullying,3. It is important to think before you post online to prevent cyberbullying incidents.
Neutral,"4. Cyberbullying can cause emotional distress and harm to individuals, so always be mindful of your online behavior."
Cyberbullying,5. Avoid sharing hurtful comments or messages online to prevent cyberbullying.
Neutral,6. Take a stand against cyberbullying by promoting positivity and kindness in online interactions.
Cyberbullying,7. Encourage friends and peers to speak up against cyberbullying and support those who are being targeted.
Neutral,"8. Cyberbullying is never acceptable, no matter the circumstances, and should always be condemned."
Cyberbullying,9. Engage in respectful and constructive conversations online to prevent any potential cyberbullying from occurring.
Neutral,10. Stay vigilant and educate yourself on the signs of cyberbullying to better protect yourself and others from online harassment.
Cyberbullying,Cyberbullying sentences:
Neutral,"1. You're such a loser, nobody likes you."
Cyberbullying,2. I hope you fail miserably in everything you do.
Neutral,3. You're ugly and you should just disappear.
Cyberbullying,4. Everyone would be better off if you weren't around.
Neutral,5. You don't deserve to be happy because you're a terrible person.
Cyberbullying,6. Why do you even bother trying? You'll never succeed.
Neutral,"7. You're such a failure, you should just give up now."
Cyberbullying,8. No one cares about your pathetic problems.
Neutral,"9. You're so stupid, it's embarrassing to even know you."
Cyberbullying,10. I wish you would just disappear and never come back.
Neutral,
Cyberbullying,Neutral sentences:
Neutral,1. I respectfully disagree with your opinion on that matter.
Cyberbullying,2. Let's agree to disagree and move on from this topic.
Neutral,"3. Your perspective is interesting, but I see things differently."
